,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT
3238,11,11,1,AA,N110AN,SFO,-3,401,2586,420,417,641,48,44,86,CALM,0,0,30.08,Partly Cloudy,16,21,20
3242,11,11,1,DL,N718TW,SFO,-1,397,2586,420,419,637,48,44,86,CALM,0,0,30.08,Partly Cloudy,16,21,27
3276,11,11,1,DL,N712TW,SFO,-2,405,2586,495,493,720,54,45,72,CALM,0,0,30.1,Partly Cloudy,53,21,29
3299,11,11,1,B6,N967JT,SFO,-3,397,2586,562,559,779,55,47,74,SW,3,0,30.09,Mostly Cloudy,36,20,17
3301,11,11,1,AS,N281AK,SFO,-7,407,2586,570,563,797,55,47,74,SW,3,0,30.09,Mostly Cloudy,36,20,24
3304,11,11,1,DL,N707TW,SFO,-6,400,2586,580,574,800,55,47,74,SW,3,0,30.09,Mostly Cloudy,36,20,17
3320,11,11,1,B6,N990JL,SFO,-9,393,2586,659,650,872,57,46,67,VAR,5,0,30.08,Mostly Cloudy,18,23,14
3321,11,11,1,AA,N115NN,SFO,-8,394,2586,660,652,874,57,44,62,S,6,0,30.05,Mostly Cloudy,18,23,22
3330,11,11,1,AS,N297AK,SFO,-10,407,2586,690,680,917,57,44,62,S,6,0,30.05,Mostly Cloudy,32,21,21
3333,11,11,1,DL,N709TW,SFO,-2,396,2586,685,683,901,57,44,62,S,6,0,30.05,Mostly Cloudy,32,21,16
3398,11,11,1,B6,N964JT,SFO,0,404,2586,930,930,1154,55,48,77,SE,5,0,29.99,Mostly Cloudy,28,37,13
3408,11,11,1,DL,N705TW,SFO,-1,408,2586,955,954,1183,53,50,89,ESE,6,0,29.97,Mostly Cloudy,28,37,27
3416,11,11,1,AA,N108NN,SFO,-3,407,2586,980,977,1207,53,50,89,ESE,6,0,29.97,Mostly Cloudy,32,36,22
3424,11,11,1,AS,N525AS,SFO,-5,410,2586,995,990,1225,53,50,89,ESE,6,0,29.97,Mostly Cloudy,32,36,21
3438,11,11,1,DL,N713TW,SFO,5,404,2586,1035,1040,1259,53,51,93,SSE,6,0,29.95,Mostly Cloudy,34,28,17
3445,11,11,1,AA,N104NN,SFO,-2,403,2586,1065,1063,1288,53,51,93,SSE,6,0,29.95,Mostly Cloudy,34,28,14
3473,11,11,1,DL,N703TW,SFO,-2,412,2586,1135,1133,1367,54,53,97,SSE,10,0,29.92,Mostly Cloudy,39,34,33
3503,11,11,1,B6,N979JT,SFO,27,409,2586,1180,1207,1409,56,54,93,S,13,0,29.89,Mostly Cloudy,29,43,15
3514,11,11,1,AA,N110AN,SFO,-2,405,2586,1275,1273,60,56,55,97,S,12,0,29.88,Mostly Cloudy,31,30,19
3525,11,11,1,DL,N718TW,SFO,21,406,2586,1270,1291,56,56,55,97,S,12,0,29.88,Mostly Cloudy,31,30,19
3528,11,11,1,B6,N947JB,SFO,-3,390,2586,1309,1306,79,56,55,97,S,12,0,29.88,Mostly Cloudy,31,30,10
3568,11,12,2,B6,N964JT,SFO,-9,388,2586,410,401,618,54,47,77,SW,8,0,29.7,Cloudy,17,16,10
3573,11,12,2,AA,N107NN,SFO,-5,401,2586,420,415,641,54,48,80,W,20,26,29.72,Light Rain,17,16,19
3581,11,12,2,DL,N707TW,SFO,6,397,2586,420,426,637,54,48,80,W,20,26,29.72,Light Rain,36,30,22
3583,11,12,2,AS,N283AK,SFO,16,407,2586,420,436,647,54,48,80,W,20,26,29.72,Light Rain,36,30,16
3617,11,12,2,DL,N713TW,SFO,-2,405,2586,495,493,720,46,42,86,NW,21,33,29.76,Light Rain / Windy,52,19,27
3638,11,12,2,B6,N976JT,SFO,-7,397,2586,562,555,779,42,39,89,WNW,15,0,29.8,Light Rain,31,19,12
3644,11,12,2,DL,N712TW,SFO,-4,400,2586,580,576,800,42,39,89,WNW,15,0,29.8,Light Rain,31,19,16
3663,11,12,2,AA,N117AN,SFO,-5,394,2586,660,655,874,39,31,73,NW,15,0,29.87,Cloudy,18,22,18
3664,11,12,2,B6,N981JT,SFO,-2,393,2586,659,657,872,39,31,73,NW,15,0,29.87,Cloudy,18,22,14
3673,11,12,2,DL,N709TW,SFO,-3,396,2586,685,682,901,39,31,73,NW,15,0,29.87,Cloudy,29,20,12
3675,11,12,2,AS,N413AS,SFO,-6,407,2586,690,684,917,39,31,73,NW,15,0,29.87,Cloudy,29,20,18
3741,11,12,2,B6,N985JT,SFO,-5,404,2586,930,925,1154,33,18,54,NNW,21,32,29.96,Mostly Cloudy / Windy,28,36,14
3754,11,12,2,DL,N721TW,SFO,0,408,2586,955,955,1183,34,20,56,NW,20,26,29.99,Mostly Cloudy,28,36,25
3761,11,12,2,AA,N112AN,SFO,1,407,2586,980,981,1207,34,20,56,NW,20,26,29.99,Mostly Cloudy,32,35,24
3764,11,12,2,AS,N519AS,SFO,-8,410,2586,995,987,1225,34,20,56,NW,20,26,29.99,Mostly Cloudy,32,35,32
3784,11,12,2,DL,N624AG,SFO,3,404,2586,1035,1038,1259,33,16,50,NW,23,33,30.02,Mostly Cloudy / Windy,31,27,28
3790,11,12,2,AA,N102NN,SFO,-5,403,2586,1065,1060,1288,33,16,50,NW,23,33,30.02,Mostly Cloudy / Windy,31,27,28
3816,11,12,2,DL,N702TW,SFO,22,412,2586,1135,1157,1367,32,16,52,NW,21,33,30.07,Mostly Cloudy / Windy,37,28,22
3833,11,12,2,B6,N986JB,SFO,0,409,2586,1180,1180,1409,30,15,54,NW,20,0,30.09,Partly Cloudy,37,28,16
3853,11,12,2,AA,N107NN,SFO,-6,405,2586,1275,1269,60,29,9 ,43,NNW,16,28,30.12,Partly Cloudy,28,33,33
3865,11,12,2,B6,N969JT,SFO,-7,390,2586,1309,1302,79,29,9 ,43,NNW,16,28,30.12,Partly Cloudy,28,33,17
3901,11,13,3,B6,N985JT,SFO,-6,388,2586,410,404,618,23,8 ,53,NW,20,0,30.26,Fair,15,17,18
3902,11,13,3,AS,N423AS,SFO,-11,407,2586,420,409,647,23,8 ,53,NW,20,0,30.26,Fair,15,17,32
3905,11,13,3,AA,N116AN,SFO,-5,401,2586,420,415,641,25,10,53,NW,21,30,30.3,Fair / Windy,15,17,28
3911,11,13,3,DL,N712TW,SFO,-2,397,2586,420,418,637,25,10,53,NW,21,30,30.3,Fair / Windy,15,17,36
3948,11,13,3,DL,N709TW,SFO,-3,405,2586,495,492,720,27,9 ,47,NW,23,32,30.31,Fair / Windy,53,19,16
3973,11,13,3,B6,N980JT,SFO,-9,397,2586,562,553,779,29,9 ,43,NNW,22,31,30.33,Fair / Windy,32,19,16
3981,11,13,3,DL,N718TW,SFO,0,400,2586,580,580,800,29,9 ,43,NNW,22,31,30.33,Fair / Windy,32,19,20
3995,11,13,3,B6,N983JT,SFO,-6,393,2586,659,653,872,33,9 ,37,NNW,17,0,30.33,Fair,16,23,17
3996,11,13,3,AA,N109NN,SFO,-6,394,2586,660,654,874,33,9 ,37,NNW,17,0,30.33,Fair,16,23,17
4006,11,13,3,DL,N707TW,SFO,-5,396,2586,685,680,901,33,9 ,37,NNW,17,0,30.33,Fair,31,19,15
4010,11,13,3,AS,N263AK,SFO,-3,407,2586,690,687,917,33,9 ,37,NNW,17,0,30.33,Fair,31,19,28
4081,11,13,3,B6,N967JT,SFO,-2,404,2586,930,928,1154,33,4 ,29,N,13,0,30.36,Partly Cloudy,29,36,31
4090,11,13,3,DL,N722TW,SFO,-3,408,2586,955,952,1183,31,4 ,32,N,9,0,30.37,Fair,29,36,16
4102,11,13,3,AA,N115NN,SFO,-4,407,2586,980,976,1207,31,4 ,32,N,9,0,30.37,Fair,33,35,17
4111,11,13,3,AS,N214AK,SFO,3,410,2586,995,998,1225,31,4 ,32,N,9,0,30.37,Fair,33,35,17
4126,11,13,3,DL,N723TW,SFO,0,404,2586,1035,1035,1259,31,5 ,33,NNW,10,0,30.39,Partly Cloudy,30,28,13
4134,11,13,3,AA,N101NN,SFO,-5,403,2586,1065,1060,1288,31,5 ,33,NNW,10,0,30.39,Partly Cloudy,30,28,19
4152,11,13,3,DL,N706TW,SFO,6,412,2586,1135,1141,1367,30,6 ,36,N,8,0,30.42,Partly Cloudy,39,29,23
4163,11,13,3,B6,N982JB,SFO,-5,409,2586,1180,1175,1409,30,7 ,38,N,9,0,30.43,Mostly Cloudy,39,29,22
4194,11,13,3,AA,N104NN,SFO,-4,405,2586,1275,1271,60,30,7 ,38,NNW,7,0,30.44,Mostly Cloudy,28,31,26
4207,11,13,3,B6,N945JT,SFO,-10,390,2586,1309,1299,79,30,7 ,38,NNW,7,0,30.44,Mostly Cloudy,28,31,23
4241,11,14,4,B6,N947JB,SFO,-5,388,2586,410,405,618,25,15,66,NNE,6,0,30.43,Mostly Cloudy,17,20,12
4242,11,14,4,AS,N403AS,SFO,-8,407,2586,420,412,647,31,17,57,NNW,6,0,30.46,Mostly Cloudy,17,20,22
4243,11,14,4,AA,N108NN,SFO,-7,401,2586,420,413,641,31,17,57,NNW,6,0,30.46,Mostly Cloudy,17,20,17
4261,11,14,4,DL,N718TW,SFO,25,397,2586,420,445,637,31,17,57,NNW,6,0,30.46,Mostly Cloudy,36,30,18
4290,11,14,4,DL,N705TW,SFO,-4,405,2586,495,491,720,35,20,54,N,5,0,30.46,Mostly Cloudy,53,20,32
4315,11,14,4,AS,N297AK,SFO,-15,407,2586,570,555,797,37,22,54,VAR,5,0,30.46,Mostly Cloudy,35,21,24
4319,11,14,4,B6,N981JT,SFO,-2,397,2586,562,560,779,37,22,54,VAR,5,0,30.46,Mostly Cloudy,35,21,21
4322,11,14,4,DL,N707TW,SFO,-8,400,2586,580,572,800,37,22,54,VAR,5,0,30.46,Mostly Cloudy,35,21,21
4339,11,14,4,AA,N107NN,SFO,-7,394,2586,660,653,874,41,25,53,VAR,7,0,30.41,Mostly Cloudy,20,22,17
4350,11,14,4,DL,N721TW,SFO,-2,396,2586,685,683,901,41,25,53,VAR,7,0,30.41,Mostly Cloudy,29,20,12
4351,11,14,4,AS,N282AK,SFO,-5,407,2586,690,685,917,41,25,53,VAR,7,0,30.41,Mostly Cloudy,29,20,20
4355,11,14,4,B6,N934JB,SFO,30,393,2586,659,689,872,41,25,53,VAR,7,0,30.41,Mostly Cloudy,29,20,28
4429,11,14,4,DL,N713TW,SFO,-4,408,2586,955,951,1183,44,26,49,SW,12,0,30.32,Mostly Cloudy,30,37,16
4440,11,14,4,B6,N976JT,SFO,36,404,2586,930,966,1154,44,26,49,SW,12,0,30.32,Mostly Cloudy,32,36,20
4447,11,14,4,AS,N284AK,SFO,0,410,2586,995,995,1225,44,26,49,SW,12,0,30.32,Mostly Cloudy,32,36,16
4453,11,14,4,AA,N110AN,SFO,26,407,2586,980,1006,1207,44,26,49,SW,12,0,30.32,Mostly Cloudy,32,36,41
4468,11,14,4,DL,N711ZX,SFO,17,404,2586,1035,1052,1259,44,27,51,SSW,13,0,30.33,Mostly Cloudy,33,28,26
4500,11,14,4,DL,N706TW,SFO,17,412,2586,1135,1152,1367,44,28,53,SW,10,0,30.31,Mostly Cloudy,40,28,15
4531,11,14,4,B6,N979JT,SFO,48,409,2586,1180,1228,1409,44,29,55,SW,14,0,30.31,Mostly Cloudy,31,42,25
4538,11,14,4,AA,N108NN,SFO,-9,405,2586,1275,1266,60,43,31,62,WSW,14,0,30.31,Mostly Cloudy,33,35,35
4550,11,14,4,DL,N718TW,SFO,27,406,2586,1270,1297,56,43,31,62,WSW,14,0,30.31,Mostly Cloudy,33,35,32
4559,11,14,4,B6,N977JE,SFO,0,390,2586,1309,1309,79,43,31,62,WSW,14,0,30.31,Mostly Cloudy,33,35,18
4592,11,15,5,B6,N976JT,SFO,-9,388,2586,410,401,618,38,29,70,WSW,7,0,30.25,Mostly Cloudy,17,19,13
4593,11,15,5,AS,N493AS,SFO,-10,407,2586,420,410,647,38,29,70,WSW,7,0,30.25,Mostly Cloudy,17,19,14
4598,11,15,5,AA,N116AN,SFO,-5,401,2586,420,415,641,37,27,67,SW,8,0,30.27,Partly Cloudy,17,19,19
4604,11,15,5,DL,N713TW,SFO,-3,397,2586,420,417,637,37,27,67,SW,8,0,30.27,Partly Cloudy,17,19,19
4643,11,15,5,DL,N707TW,SFO,-6,405,2586,495,489,720,40,27,60,WSW,8,0,30.26,Partly Cloudy,52,21,28
4670,11,15,5,AS,N407AS,SFO,0,407,2586,570,570,797,44,28,53,SW,9,0,30.25,Partly Cloudy,34,20,15
4671,11,15,5,DL,N702TW,SFO,-8,400,2586,580,572,800,44,28,53,SW,9,0,30.25,Partly Cloudy,34,20,22
4684,11,15,5,B6,N983JT,SFO,61,397,2586,562,623,779,48,23,37,W,13,0,30.22,Partly Cloudy,18,22,37
4698,11,15,5,DL,N624AG,SFO,-5,396,2586,685,680,901,48,27,44,SW,12,0,30.19,Partly Cloudy,29,21,20
4704,11,15,5,AA,N112AN,SFO,29,394,2586,660,689,874,48,27,44,SW,12,0,30.19,Partly Cloudy,29,21,25
4705,11,15,5,B6,N943JT,SFO,30,393,2586,659,689,872,48,27,44,SW,12,0,30.19,Partly Cloudy,29,21,30
4715,11,15,5,AS,N297AK,SFO,28,407,2586,690,718,917,49,26,41,SW,12,0,30.16,Partly Cloudy,29,21,27
4782,11,15,5,DL,N722TW,SFO,-6,408,2586,955,949,1183,48,28,46,WSW,10,0,30.14,Mostly Cloudy,29,37,31
4801,11,15,5,B6,N964JT,SFO,58,404,2586,930,988,1154,47,28,48,WSW,10,0,30.14,Mostly Cloudy,31,35,16
4802,11,15,5,AS,N280AK,SFO,-3,410,2586,995,992,1225,47,28,48,WSW,10,0,30.14,Mostly Cloudy,31,35,22
4820,11,15,5,AA,N113AN,SFO,56,407,2586,980,1036,1207,45,29,53,WSW,10,0,30.16,Mostly Cloudy,32,27,13
4829,11,15,5,DL,N712TW,SFO,39,404,2586,1035,1074,1259,47,28,48,WSW,10,0,30.16,Mostly Cloudy,32,27,31
4835,11,15,5,AA,N102NN,SFO,24,403,2586,1065,1089,1288,47,28,48,WSW,10,0,30.16,Mostly Cloudy,40,32,20
4872,11,15,5,B6,N986JB,SFO,-5,409,2586,1180,1175,1409,48,26,42,W,12,0,30.16,Mostly Cloudy,40,27,16
4882,11,15,5,DL,N706TW,SFO,1,416,2586,1199,1200,1435,48,26,42,W,12,0,30.16,Mostly Cloudy,30,43,30
4895,11,15,5,DL,N713TW,SFO,-2,406,2586,1270,1268,56,47,27,46,NW,10,0,30.19,Mostly Cloudy,32,34,20
4897,11,15,5,AA,N116AN,SFO,-1,405,2586,1275,1274,60,47,27,46,NW,10,0,30.19,Mostly Cloudy,32,34,25
4910,11,15,5,B6,N993JE,SFO,-2,390,2586,1309,1307,79,47,27,46,NW,10,0,30.19,Mostly Cloudy,32,34,15
4942,11,16,6,AS,N472AS,SFO,-12,407,2586,420,408,647,36,14,41,NNE,14,0,30.36,Fair,14,18,28
4946,11,16,6,AA,N101NN,SFO,-6,401,2586,420,414,641,35,13,40,NE,20,25,30.43,Fair,14,18,18
4978,11,16,6,DL,N722TW,SFO,-3,399,2586,485,482,704,36,5 ,27,NE,24,35,30.45,Fair / Windy,51,17,18
5004,11,16,6,B6,N934JB,SFO,-8,397,2586,562,554,779,37,5 ,26,NE,22,35,30.46,Fair / Windy,39,18,18
5011,11,16,6,AS,N288AK,SFO,-4,407,2586,570,566,797,37,5 ,26,NE,22,35,30.46,Fair / Windy,39,18,21
5035,11,16,6,AA,N103NN,SFO,9,394,2586,660,669,874,40,5 ,23,ENE,18,32,30.44,Fair,27,20,19
5041,11,16,6,AS,N263AK,SFO,-5,407,2586,690,685,917,40,5 ,23,ENE,18,32,30.44,Fair,27,20,41
5047,11,16,6,DL,N723TW,SFO,18,393,2586,685,703,898,40,5 ,23,ENE,18,32,30.44,Fair,27,20,24
5099,11,16,6,B6,N981JT,SFO,-6,404,2586,930,924,1154,39,3 ,22,NE,16,0,30.44,Partly Cloudy,30,40,28
5108,11,16,6,DL,N721TW,SFO,-4,404,2586,955,951,1179,36,5 ,27,NE,8,0,30.44,Partly Cloudy,30,40,15
5124,11,16,6,AA,N107NN,SFO,-3,407,2586,980,977,1207,36,5 ,27,NE,8,0,30.44,Partly Cloudy,30,31,23
5130,11,16,6,AS,N537AS,SFO,-5,410,2586,995,990,1225,36,5 ,27,NE,8,0,30.44,Partly Cloudy,30,31,26
5184,11,16,6,B6,N988JT,SFO,-3,409,2586,1180,1177,1409,34,5 ,30,NNE,10,0,30.46,Fair,40,26,24
5192,11,16,6,DL,N707TW,SFO,-5,412,2586,1199,1194,1431,34,5 ,30,NNE,10,0,30.46,Fair,40,26,25
5211,11,16,6,B6,N943JT,SFO,-5,390,2586,1309,1304,79,33,9 ,37,NNE,9,0,30.45,Fair,27,27,15
5240,11,17,7,B6,N981JT,SFO,-6,388,2586,410,404,618,32,20,61,NNE,15,0,30.35,Mostly Cloudy,17,19,14
5242,11,17,7,DL,N722TW,SFO,-9,397,2586,420,411,637,34,24,67,NE,15,0,30.35,Mostly Cloudy,17,19,13
5255,11,17,7,AA,N102NN,SFO,0,401,2586,420,420,641,34,24,67,NE,15,0,30.35,Mostly Cloudy,34,30,23
5257,11,17,7,AS,N419AS,SFO,8,407,2586,420,428,647,34,24,67,NE,15,0,30.35,Mostly Cloudy,34,30,30
5290,11,17,7,DL,N712TW,SFO,-3,405,2586,495,492,720,37,26,65,NE,18,0,30.36,Mostly Cloudy,50,18,31
5314,11,17,7,AS,N284AK,SFO,-6,407,2586,570,564,797,39,28,65,NNE,23,28,30.34,Mostly Cloudy / Windy,32,21,24
5317,11,17,7,B6,N990JL,SFO,8,397,2586,562,570,779,39,28,65,NNE,23,28,30.34,Mostly Cloudy / Windy,32,21,14
5319,11,17,7,DL,N710TW,SFO,-3,400,2586,580,577,800,39,28,65,NNE,23,28,30.34,Mostly Cloudy / Windy,32,21,39
5331,11,17,7,B6,N964JT,SFO,-9,393,2586,659,650,872,42,30,62,NE,22,0,30.31,Mostly Cloudy / Windy,20,20,20
5332,11,17,7,AA,N110AN,SFO,-8,394,2586,660,652,874,42,31,65,NE,21,0,30.27,Cloudy / Windy,20,20,17
5344,11,17,7,AS,N263AK,SFO,-8,407,2586,690,682,917,42,31,65,NE,21,0,30.27,Cloudy / Windy,30,21,29
5345,11,17,7,DL,N705TW,SFO,-2,396,2586,685,683,901,42,31,65,NE,21,0,30.27,Cloudy / Windy,30,21,17
5418,11,17,7,B6,N983JT,SFO,-6,404,2586,930,924,1154,41,31,67,NNE,22,29,30.18,Cloudy / Windy,27,37,25
5437,11,17,7,AA,N104NN,SFO,2,407,2586,980,982,1207,40,30,68,NE,20,25,30.17,Cloudy,33,33,19
5447,11,17,7,AS,N272AK,SFO,18,410,2586,995,1013,1225,40,30,68,NNE,18,0,30.16,Cloudy,33,33,26
5459,11,17,7,DL,N718TW,SFO,5,404,2586,1035,1040,1259,40,30,68,NNE,18,0,30.16,Cloudy,33,28,17
5460,11,17,7,DL,N702TW,SFO,91,408,2586,955,1046,1183,40,30,68,NNE,18,0,30.16,Cloudy,33,28,25
5468,11,17,7,AA,N117AN,SFO,9,403,2586,1065,1074,1288,40,31,70,NNE,20,0,30.14,Cloudy,33,28,16
5508,11,17,7,B6,N944JT,SFO,0,409,2586,1180,1180,1409,40,31,70,NNE,22,28,30.12,Cloudy / Windy,41,29,16
5516,11,17,7,DL,N721TW,SFO,-5,416,2586,1199,1194,1435,40,31,70,NNE,22,28,30.12,Cloudy / Windy,41,29,16
5537,11,17,7,DL,N722TW,SFO,10,406,2586,1270,1280,56,39,31,73,NNE,18,0,30.09,Mostly Cloudy,32,34,22
5543,11,17,7,AA,N116AN,SFO,14,405,2586,1275,1289,60,39,31,73,NNE,18,0,30.09,Mostly Cloudy,32,34,18
5560,11,17,7,B6,N946JL,SFO,57,390,2586,1309,1366,79,39,31,73,NNE,17,0,30.07,Mostly Cloudy,24,33,33
5585,11,18,1,B6,N983JT,SFO,-8,388,2586,410,402,618,38,38,10,N,13,0,29.89,Light Rain,16,20,21
5593,11,18,1,AA,N110AN,SFO,-5,401,2586,420,415,641,39,39,10,NNE,13,0,29.87,Light Drizzle,16,20,16
5598,11,18,1,DL,N705TW,SFO,0,397,2586,420,420,637,39,39,10,NNE,13,0,29.87,Light Drizzle,35,29,22
5600,11,18,1,AS,N486AS,SFO,10,407,2586,420,430,647,39,39,10,NNE,13,0,29.87,Light Drizzle,35,29,14
5638,11,18,1,DL,N702TW,SFO,-2,405,2586,495,493,720,40,39,97,NNE,12,0,29.84,Cloudy,53,21,25
5666,11,18,1,AS,N281AK,SFO,2,407,2586,570,572,797,42,39,89,N,12,21,29.83,Cloudy,36,22,35
5669,11,18,1,DL,N706TW,SFO,-2,400,2586,580,578,800,42,39,89,N,12,21,29.83,Cloudy,36,22,26
5671,11,18,1,B6,N979JT,SFO,25,397,2586,562,587,779,42,39,89,N,12,21,29.83,Cloudy,36,22,22
5683,11,18,1,B6,N961JT,SFO,-9,393,2586,659,650,872,42,39,89,N,14,0,29.81,Light Drizzle,18,21,14
5685,11,18,1,AA,N101NN,SFO,-6,394,2586,660,654,874,42,41,96,N,12,0,29.77,Light Rain,18,21,18
5699,11,18,1,DL,N710TW,SFO,0,396,2586,685,685,901,42,41,96,N,12,0,29.77,Light Rain,31,21,17
5700,11,18,1,AS,N435AS,SFO,-3,407,2586,690,687,917,42,41,96,N,12,0,29.77,Light Rain,31,21,40
5768,11,18,1,B6,N985JT,SFO,-2,404,2586,930,928,1154,41,41,10,NNW,14,0,29.71,Light Rain,29,37,38
5776,11,18,1,DL,N624AG,SFO,-3,408,2586,955,952,1183,41,41,10,NNW,13,0,29.72,Light Rain,29,37,16
5792,11,18,1,AA,N116AN,SFO,4,407,2586,980,984,1207,41,41,10,NNW,13,0,29.72,Light Rain,31,36,21
5793,11,18,1,AS,N537AS,SFO,2,410,2586,995,997,1225,41,41,10,NNW,13,0,29.72,Light Rain,31,36,24
5811,11,18,1,DL,N707TW,SFO,-5,404,2586,1035,1030,1259,40,40,10,N,12,0,29.72,Light Rain,35,27,23
5834,11,18,1,AA,N102NN,SFO,47,403,2586,1065,1112,1288,40,40,10,NNW,9,18,29.72,Light Rain,39,32,24
5844,11,18,1,DL,N721TW,SFO,0,412,2586,1135,1135,1367,40,40,10,NNW,9,18,29.72,Light Rain,39,32,21
5861,11,18,1,B6,N968JT,SFO,0,409,2586,1180,1180,1409,40,40,10,NNW,7,0,29.72,Light Rain,38,27,31
5889,11,18,1,DL,N713TW,SFO,12,406,2586,1270,1282,56,41,41,10,N,10,0,29.71,Light Rain,31,32,21
5899,11,18,1,B6,N945JT,SFO,-7,390,2586,1309,1302,79,41,41,10,N,10,0,29.71,Light Rain,31,32,19
5906,11,18,1,AA,N111ZM,SFO,69,405,2586,1275,1344,60,41,41,10,N,8,0,29.71,Light Rain,23,30,20
5935,11,19,2,B6,N985JT,SFO,-5,388,2586,410,405,618,42,42,10,WSW,5,0,29.75,Cloudy,16,14,16
5938,11,19,2,AA,N115NN,SFO,-7,401,2586,420,413,641,43,43,10,WSW,10,0,29.78,Cloudy,16,14,19
5943,11,19,2,DL,N706TW,SFO,-7,397,2586,420,413,637,43,43,10,WSW,10,0,29.78,Cloudy,16,14,35
5948,11,19,2,AS,N272AK,SFO,-3,407,2586,420,417,647,43,43,10,WSW,10,0,29.78,Cloudy,16,14,22
5987,11,19,2,DL,N707TW,SFO,-3,405,2586,495,492,720,45,43,93,W,8,0,29.79,Mostly Cloudy,52,20,21
6012,11,19,2,B6,N987JT,SFO,-6,397,2586,562,556,779,48,43,83,WSW,9,0,29.79,Partly Cloudy,32,20,15
6018,11,19,2,DL,N710TW,SFO,-6,400,2586,580,574,800,48,43,83,WSW,9,0,29.79,Partly Cloudy,32,20,28
6029,11,19,2,B6,N942JB,SFO,-12,393,2586,659,647,872,48,41,77,W,12,0,29.78,Partly Cloudy,17,20,22
6032,11,19,2,AA,N117AN,SFO,-6,394,2586,660,654,874,50,39,66,W,13,0,29.77,Partly Cloudy,17,20,16
6043,11,19,2,DL,N702TW,SFO,-11,396,2586,685,674,901,50,39,66,W,13,0,29.77,Partly Cloudy,30,19,20
6048,11,19,2,AS,N260AK,SFO,-6,407,2586,690,684,917,50,39,66,W,13,0,29.77,Partly Cloudy,30,19,22
6115,11,19,2,B6,N990JL,SFO,-7,404,2586,930,923,1154,48,37,66,NW,9,0,29.81,Mostly Cloudy,28,36,14
6126,11,19,2,DL,N713TW,SFO,-6,408,2586,955,949,1183,48,37,66,NW,9,0,29.81,Mostly Cloudy,28,36,22
6142,11,19,2,AA,N103NN,SFO,4,407,2586,980,984,1207,46,37,71,N,10,0,29.81,Mostly Cloudy,32,35,28
6147,11,19,2,AS,N526AS,SFO,0,410,2586,995,995,1225,46,37,71,N,10,0,29.81,Mostly Cloudy,32,35,20
6162,11,19,2,DL,N711ZX,SFO,-3,404,2586,1035,1032,1259,46,36,68,N,12,0,29.85,Cloudy,30,27,23
6188,11,19,2,DL,N721TW,SFO,-9,412,2586,1135,1126,1367,45,35,68,N,9,0,29.85,Mostly Cloudy,37,32,21
6192,11,19,2,AA,N107NN,SFO,74,403,2586,1065,1139,1288,45,35,68,N,9,0,29.85,Mostly Cloudy,37,32,29
6207,11,19,2,B6,N988JT,SFO,-6,409,2586,1180,1174,1409,45,35,68,N,6,0,29.87,Mostly Cloudy,38,29,17
6233,11,19,2,AA,N109NN,SFO,-1,405,2586,1275,1274,60,45,34,65,N,10,0,29.87,Mostly Cloudy,28,34,19
6244,11,19,2,B6,N964JT,SFO,-1,390,2586,1309,1308,79,45,34,65,N,10,0,29.87,Mostly Cloudy,28,34,21
6276,11,20,3,B6,N961JT,SFO,-13,388,2586,410,397,618,41,34,76,NNW,14,0,29.89,Cloudy,16,17,19
6282,11,20,3,AS,N478AS,SFO,-8,407,2586,420,412,647,42,33,70,NNW,15,0,29.93,Mostly Cloudy,16,17,30
6285,11,20,3,DL,N710TW,SFO,-6,397,2586,420,414,637,42,33,70,NNW,15,0,29.93,Mostly Cloudy,16,17,21
6290,11,20,3,AA,N110AN,SFO,-4,401,2586,420,416,641,42,33,70,NNW,15,0,29.93,Mostly Cloudy,16,17,22
6328,11,20,3,DL,N713TW,SFO,-5,405,2586,495,490,720,42,33,70,NNW,14,0,29.93,Mostly Cloudy,52,19,27
6350,11,20,3,B6,N942JB,SFO,-9,397,2586,562,553,779,42,33,70,NNW,17,0,29.94,Cloudy,32,21,19
6356,11,20,3,DL,N706TW,SFO,-4,400,2586,580,576,800,42,33,70,NNW,17,0,29.94,Cloudy,32,21,24
6372,11,20,3,AA,N105NN,SFO,-9,394,2586,660,651,874,44,34,68,N,20,0,29.93,Cloudy,17,21,16
6373,11,20,3,B6,N935JB,SFO,-7,393,2586,659,652,872,44,34,68,N,20,0,29.93,Cloudy,17,21,26
6384,11,20,3,DL,N705TW,SFO,-8,396,2586,685,677,901,45,34,65,NNW,22,0,29.94,Mostly Cloudy / Windy,29,19,17
6389,11,20,3,AS,N461AS,SFO,-4,407,2586,690,686,917,45,34,65,NNW,22,0,29.94,Mostly Cloudy / Windy,29,19,24
6453,11,20,3,B6,N986JB,SFO,-8,404,2586,930,922,1154,47,25,42,N,12,0,29.96,Mostly Cloudy,30,36,20
6466,11,20,3,DL,N704X,SFO,-4,408,2586,955,951,1183,46,30,54,NW,20,0,29.99,Mostly Cloudy,30,36,24
